"Time","CO2","Humidity","PM10","PM2.5","Temperature","TVOC"
2024-01-18 00:00:00,617 ppm,80 %H,13.5 μg/m³,12.8 μg/m³,23.2 °C,0.912 ppm
2024-01-17 22:00:00,641 ppm,80 %H,14.2 μg/m³,13.6 μg/m³,23.0 °C,0.839 ppm
2024-01-17 20:00:00,665 ppm,80.0 %H,13.1 μg/m³,12.7 μg/m³,22.6 °C,0.876 ppm
2024-01-17 18:00:00,724 ppm,80.4 %H,12 μg/m³,11.6 μg/m³,22.2 °C,0.944 ppm
2024-01-17 16:00:00,739 ppm,79.8 %H,12.9 μg/m³,12.4 μg/m³,22.3 °C,0.926 ppm
2024-01-17 14:00:00,692 ppm,79.4 %H,13.1 μg/m³,12.9 μg/m³,22.1 °C,1.07 ppm
2024-01-17 12:00:00,625 ppm,80.0 %H,13.1 μg/m³,12.5 μg/m³,22.3 °C,1.21 ppm
2024-01-17 10:00:00,524 ppm,80.0 %H,13.4 μg/m³,12.9 μg/m³,22.3 °C,0.921 ppm
2024-01-17 08:00:00,479 ppm,78.5 %H,12.2 μg/m³,11.8 μg/m³,22.5 °C,0.892 ppm
2024-01-17 06:00:00,494 ppm,80.0 %H,14.4 μg/m³,13.9 μg/m³,23.5 °C,0.907 ppm
2024-01-17 04:00:00,503 ppm,80 %H,15.8 μg/m³,14.9 μg/m³,23.5 °C,0.938 ppm
2024-01-17 02:00:00,513 ppm,80 %H,15.8 μg/m³,15 μg/m³,23.4 °C,0.927 ppm
2024-01-17 00:00:00,522 ppm,80 %H,15.4 μg/m³,15.1 μg/m³,23.3 °C,0.885 ppm
2024-01-16 22:00:00,526 ppm,80 %H,17.1 μg/m³,16.2 μg/m³,23.1 °C,0.804 ppm
2024-01-16 20:00:00,522 ppm,80.4 %H,16.4 μg/m³,15.5 μg/m³,22.7 °C,0.754 ppm
2024-01-16 18:00:00,521 ppm,80.7 %H,13.6 μg/m³,13.1 μg/m³,22.2 °C,0.814 ppm
2024-01-16 16:00:00,513 ppm,80.1 %H,11.5 μg/m³,10.9 μg/m³,22.3 °C,0.864 ppm
2024-01-16 14:00:00,504 ppm,80.0 %H,10.8 μg/m³,10.4 μg/m³,22.3 °C,0.865 ppm
2024-01-16 12:00:00,500 ppm,79.8 %H,10.6 μg/m³,10.4 μg/m³,22.1 °C,0.899 ppm
2024-01-16 10:00:00,498 ppm,79.7 %H,9.82 μg/m³,9.12 μg/m³,22.2 °C,0.839 ppm
2024-01-16 08:00:00,520 ppm,78.0 %H,9.41 μg/m³,9.12 μg/m³,22.6 °C,0.948 ppm
2024-01-16 06:00:00,542 ppm,79.5 %H,9.82 μg/m³,9.24 μg/m³,23.7 °C,0.949 ppm
2024-01-16 04:00:00,562 ppm,79.4 %H,9.65 μg/m³,9.41 μg/m³,23.7 °C,0.950 ppm
2024-01-16 02:00:00,585 ppm,79 %H,10 μg/m³,9.65 μg/m³,23.6 °C,0.974 ppm
2024-01-16 00:00:00,613 ppm,79 %H,9.82 μg/m³,9.65 μg/m³,23.5 °C,1.05 ppm
2024-01-15 22:00:00,632 ppm,79.2 %H,10.6 μg/m³,9.83 μg/m³,23.3 °C,1.01 ppm
2024-01-15 20:00:00,649 ppm,79.7 %H,10.2 μg/m³,9.59 μg/m³,22.8 °C,0.925 ppm
2024-01-15 18:00:00,713 ppm,79.2 %H,10.6 μg/m³,10.1 μg/m³,22.3 °C,0.980 ppm
2024-01-15 16:00:00,742 ppm,77.8 %H,10.9 μg/m³,10.3 μg/m³,22.4 °C,0.981 ppm
2024-01-15 14:00:00,688 ppm,76.5 %H,12.8 μg/m³,11.8 μg/m³,22.6 °C,0.874 ppm
2024-01-15 12:00:00,569 ppm,76.4 %H,10.4 μg/m³,9.71 μg/m³,22.4 °C,0.744 ppm
2024-01-15 10:00:00,478 ppm,78.4 %H,10 μg/m³,9.76 μg/m³,22.9 °C,0.856 ppm
2024-01-15 08:00:00,423 ppm,80.7 %H,12.3 μg/m³,11.7 μg/m³,23.6 °C,0.857 ppm
2024-01-15 06:00:00,420 ppm,80.5 %H,14.6 μg/m³,13.6 μg/m³,24.1 °C,0.874 ppm
2024-01-15 04:00:00,423 ppm,80.5 %H,15.8 μg/m³,14.9 μg/m³,24.1 °C,0.846 ppm
2024-01-15 02:00:00,429 ppm,80 %H,15.4 μg/m³,14.7 μg/m³,24.1 °C,0.823 ppm
2024-01-15 00:00:00,437 ppm,80 %H,16.5 μg/m³,15.2 μg/m³,24.1 °C,0.828 ppm
2024-01-14 22:00:00,439 ppm,80 %H,17.9 μg/m³,16.5 μg/m³,24.2 °C,0.809 ppm
2024-01-14 20:00:00,436 ppm,79.7 %H,17.1 μg/m³,16.2 μg/m³,24.3 °C,0.850 ppm
2024-01-14 18:00:00,433 ppm,79.5 %H,18.7 μg/m³,17.6 μg/m³,24.4 °C,0.819 ppm
2024-01-14 16:00:00,425 ppm,79.5 %H,18.2 μg/m³,17.6 μg/m³,24.4 °C,0.849 ppm
2024-01-14 14:00:00,420 ppm,79.9 %H,20 μg/m³,19.3 μg/m³,24.2 °C,0.842 ppm
2024-01-14 12:00:00,426 ppm,80 %H,21.6 μg/m³,20.5 μg/m³,24.0 °C,0.842 ppm
2024-01-14 10:00:00,430 ppm,80 %H,20.9 μg/m³,19.9 μg/m³,23.8 °C,0.836 ppm
2024-01-14 08:00:00,437 ppm,80.1 %H,18.8 μg/m³,17.6 μg/m³,23.6 °C,0.844 ppm
2024-01-14 06:00:00,439 ppm,80 %H,19.6 μg/m³,18.5 μg/m³,23.6 °C,0.814 ppm
2024-01-14 04:00:00,441 ppm,80 %H,19.6 μg/m³,18.8 μg/m³,23.6 °C,0.816 ppm
2024-01-14 02:00:00,451 ppm,80 %H,19.9 μg/m³,18.8 μg/m³,23.5 °C,0.850 ppm
2024-01-14 00:00:00,457 ppm,80 %H,20.8 μg/m³,19.2 μg/m³,23.5 °C,0.785 ppm
2024-01-13 22:00:00,472 ppm,80 %H,20.8 μg/m³,19.2 μg/m³,23.4 °C,0.752 ppm
2024-01-13 20:00:00,472 ppm,80.2 %H,19 μg/m³,18.5 μg/m³,23.3 °C,0.678 ppm
2024-01-13 18:00:00,466 ppm,80.5 %H,15.9 μg/m³,15.4 μg/m³,23.1 °C,0.588 ppm
2024-01-13 16:00:00,468 ppm,80.0 %H,14.8 μg/m³,14.2 μg/m³,22.9 °C,0.655 ppm
2024-01-13 14:00:00,476 ppm,79.8 %H,12.7 μg/m³,12.4 μg/m³,23.0 °C,0.753 ppm
2024-01-13 12:00:00,483 ppm,79.8 %H,12.6 μg/m³,12.2 μg/m³,23.1 °C,0.941 ppm
2024-01-13 10:00:00,502 ppm,79.7 %H,13.1 μg/m³,12.6 μg/m³,23.2 °C,1.15 ppm
2024-01-13 08:00:00,531 ppm,79.9 %H,12.9 μg/m³,12.4 μg/m³,23.3 °C,1.26 ppm
2024-01-13 06:00:00,550 ppm,79.5 %H,12.9 μg/m³,12.2 μg/m³,23.3 °C,1.26 ppm
2024-01-13 04:00:00,565 ppm,79.5 %H,12.5 μg/m³,12 μg/m³,23.3 °C,1.17 ppm
2024-01-13 02:00:00,579 ppm,79.9 %H,12.3 μg/m³,11.8 μg/m³,23.2 °C,1.13 ppm
