Time,CO2,Humidity,PM10,PM2.5,Temperature,TVOC
2024-02-19 15:00:00,1095 ppm,75.6 %H,11.3 μg/m³,10.8 μg/m³,23.8 °C,0.613 ppm
2024-02-19 16:00:00,1552 ppm,72.8 %H,7.33 μg/m³,7.33 μg/m³,23.9 °C,1.09 ppm
2024-02-19 17:00:00,1937 ppm,73.8 %H,6.33 μg/m³,6.33 μg/m³,23.7 °C,1.36 ppm
2024-02-19 18:00:00,1877 ppm,76.5 %H,8.17 μg/m³,7.67 μg/m³,23.3 °C,1.11 ppm
2024-02-19 19:00:00,1552 ppm,78.3 %H,9 μg/m³,8.83 μg/m³,23.3 °C,0.588 ppm
2024-02-19 20:00:00,1317 ppm,78.7 %H,12 μg/m³,11 μg/m³,23.6 °C,0.393 ppm
2024-02-19 21:00:00,1179 ppm,78.5 %H,13 μg/m³,12.7 μg/m³,23.9 °C,0.332 ppm
2024-02-19 22:00:00,1075 ppm,78.5 %H,14 μg/m³,13 μg/m³,24 °C,0.362 ppm
2024-02-19 23:00:00,991 ppm,78.5 %H,13.8 μg/m³,13.3 μg/m³,24.1 °C,0.333 ppm
2024-02-20 00:00:00,929 ppm,78.5 %H,13.5 μg/m³,12.8 μg/m³,24.1 °C,0.362 ppm
2024-02-20 01:00:00,873 ppm,79 %H,15 μg/m³,14.3 μg/m³,24.2 °C,0.370 ppm
2024-02-20 02:00:00,821 ppm,79 %H,14.3 μg/m³,14.2 μg/m³,24.2 °C,0.415 ppm
2024-02-20 03:00:00,780 ppm,79 %H,15.2 μg/m³,14.5 μg/m³,24.2 °C,0.315 ppm
2024-02-20 04:00:00,740 ppm,79 %H,16.7 μg/m³,15.3 μg/m³,24.2 °C,0.377 ppm
2024-02-20 05:00:00,712 ppm,79 %H,14.3 μg/m³,14.2 μg/m³,24.3 °C,0.362 ppm
2024-02-20 06:00:00,685 ppm,79.4 %H,14.2 μg/m³,14 μg/m³,24.3 °C,0.328 ppm
2024-02-20 07:00:00,658 ppm,79.5 %H,13.5 μg/m³,13 μg/m³,24.3 °C,0.345 ppm
2024-02-20 08:00:00,638 ppm,79.1 %H,14.8 μg/m³,14 μg/m³,23.6 °C,0.355 ppm
2024-02-20 09:00:00,608 ppm,80.1 %H,16 μg/m³,15 μg/m³,23.3 °C,0.487 ppm
2024-02-20 10:00:00,609 ppm,80.1 %H,14.2 μg/m³,13 μg/m³,23.2 °C,0.413 ppm
2024-02-20 11:00:00,666 ppm,80 %H,13.8 μg/m³,13.5 μg/m³,23.1 °C,0.455 ppm
2024-02-20 12:00:00,703 ppm,80.3 %H,14 μg/m³,13.8 μg/m³,23.2 °C,0.525 ppm
2024-02-20 13:00:00,734 ppm,79.8 %H,11.2 μg/m³,11.2 μg/m³,23.2 °C,0.505 ppm
2024-02-20 14:00:00,759 ppm,79.2 %H,11.2 μg/m³,10.8 μg/m³,23.2 °C,0.565 ppm
2024-02-20 15:00:00,785 ppm,79.5 %H,10.8 μg/m³,10.7 μg/m³,23.3 °C,0.542 ppm
2024-02-20 16:00:00,818 ppm,79.7 %H,11.8 μg/m³,11.5 μg/m³,23.3 °C,0.537 ppm
2024-02-20 17:00:00,841 ppm,79.6 %H,12.8 μg/m³,12 μg/m³,23.3 °C,0.622 ppm
2024-02-20 18:00:00,845 ppm,79.8 %H,12.7 μg/m³,12.7 μg/m³,23.3 °C,0.643 ppm
2024-02-20 19:00:00,797 ppm,80.3 %H,13.3 μg/m³,13.3 μg/m³,23.2 °C,0.525 ppm
2024-02-20 20:00:00,757 ppm,80 %H,13.2 μg/m³,12.5 μg/m³,23.4 °C,0.447 ppm
2024-02-20 21:00:00,728 ppm,80 %H,13.8 μg/m³,13.5 μg/m³,23.7 °C,0.428 ppm
2024-02-20 22:00:00,720 ppm,80 %H,15.3 μg/m³,14 μg/m³,23.8 °C,0.408 ppm
2024-02-20 23:00:00,702 ppm,80 %H,14.2 μg/m³,13.5 μg/m³,23.9 °C,0.475 ppm
2024-02-21 00:00:00,689 ppm,80 %H,14.3 μg/m³,13.7 μg/m³,24 °C,0.410 ppm
2024-02-21 01:00:00,678 ppm,80 %H,15.5 μg/m³,14.5 μg/m³,24.0 °C,0.462 ppm
2024-02-21 02:00:00,663 ppm,80 %H,12.5 μg/m³,12.5 μg/m³,24.1 °C,0.388 ppm
2024-02-21 03:00:00,650 ppm,80 %H,13.5 μg/m³,12.8 μg/m³,24.1 °C,0.440 ppm
2024-02-21 04:00:00,642 ppm,80 %H,14 μg/m³,13.2 μg/m³,24.1 °C,0.383 ppm
2024-02-21 05:00:00,629 ppm,80 %H,12.3 μg/m³,11.5 μg/m³,24.2 °C,0.428 ppm
2024-02-21 06:00:00,618 ppm,80 %H,12.7 μg/m³,12.3 μg/m³,24.2 °C,0.378 ppm
2024-02-21 07:00:00,610 ppm,80 %H,13.7 μg/m³,13.7 μg/m³,24.2 °C,0.445 ppm
2024-02-21 08:00:00,639 ppm,80 %H,14 μg/m³,13.5 μg/m³,24.3 °C,0.487 ppm
2024-02-21 09:00:00,680 ppm,79.6 %H,15.7 μg/m³,14.2 μg/m³,24.4 °C,0.573 ppm
2024-02-21 10:00:00,864 ppm,77 %H,12.7 μg/m³,12.2 μg/m³,23.5 °C,0.758 ppm
2024-02-21 11:00:00,1003 ppm,77.3 %H,12.8 μg/m³,12.3 μg/m³,23.2 °C,0.747 ppm
